,name,price,rating
0,boAt Aavante Bar 3100D 260 W Bluetooth Soundbar,"13,999",4.2
1,boAt Aavante Bar 120 W Bluetooth Soundbar,"8,199",4.4
2,boAt Stone 350 10 W Bluetooth Speaker,"1,599",4.3
3,"Mivi Fort S100 with 2 in-built subwoofers, Made in Indi...","4,999",4.5
4,F FERONS Wireless rechargeable portable Premium bass Mu...,362,3.9
5,boAt Stone 350 10 W Bluetooth Speaker,"1,599",4.3
6,Mivi Roam2 5 W Bluetooth Speaker,999,4.3
7,JBL JBLCHARGE5BLK 40 W Bluetooth Speaker,"15,999",4.5
8,Mivi Play 5 W Portable Bluetooth Speaker,799,4.2
9,F FERONS Wireless rechargeable portable Premium Dj bass...,362,3.9
10,SONY SA-D40 80 W Bluetooth Home Theatre,"8,935",4.4
11,Oxhox Flip Essential BASS Stereo With FM 10 W Bluetooth...,649,3.8
12,DINGLOT MINI WS – 887 Bluetooth Speaker 5 W Bluetooth G...,261,3.8
13,"Mivi Fort S60 with 2 in-built subwoofers, Made in India...","3,499",4.6
14,boAt Stone 190F 5 W Bluetooth Speaker,"1,199",4.4
15,boAt AAVANTE BAR 1150 60 W Bluetooth Soundbar,"4,299",4.2
16,Mivi Play 5 W Portable Bluetooth Speaker,799,4.2
17,etmax NANO PLUS 30 W Bluetooth Home Theatre,949,3.8
18,boAt Stone 190F 5 W Bluetooth Speaker,"1,199",4.4
19,Zeom ®A006 10W (MZ Series) Wireless Bluetooth Portable ...,697,0
20,ZEBRONICS Zeb - Fame 5 watt Laptop/Desktop Speaker,549,4.1
21,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,"1,399",4.1
22,F FERONS 100% Best Quality Super Bass 3D Sound Wireless...,398,4
23,Aroma Studio 1 Pro High Sound Quality With 6 Hours Play...,499,4
24,boAt Stone 1000 14 W Portable Bluetooth Speaker,"2,799",4.4
25,boAt Aavante Bar 2000 160 W Bluetooth Soundbar,"9,499",4.4
26,PTron Fusion 10W Bluetooth Speaker 10 W Bluetooth Speak...,"1,199",4.3
27,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
28,JBL Flip Essential IPX7 Waterproof 16 W Bluetooth Speak...,"4,999",4.4
29,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,"1,399",4.1
30,ZEBRONICS ZEB-FEEL 4 60 W Bluetooth Home Theatre,"2,299",3.9
31,Aroma Studio 1 Pro High Sound Quality With 6 Hours Play...,499,4
32,boAt Stone Grenade 5 W Portable Bluetooth Speaker,"1,199",4.2
33,CIHLEX NEW 2021 A005 Dolby sound Bass With Disco Color ...,644,4.1
34,SAMSUNG HW-T42E/XL Dolby Digital 150 W Bluetooth Soundb...,"8,199",4.1
35,INFINITY by Harman Fuze 99 4.5 W Bluetooth Speaker,"1,199",4
36,ZEBRONICS BT4440 RUCF 60 Watt Bluetooth Home Theatre,"3,099",4.1
37,boAt Aavante Bar 1550 120 W Bluetooth Soundbar,"8,199",4.4
