,dates,names
0,22 April 2022,The Northman (2022)
1,22 April 2022,The Unbearable Weight of Massive Talent (2022)
2,22 April 2022,The Bad Guys (2022)
3,22 April 2022,Petite Maman (2021)
4,22 April 2022,We're All Going to the World's Fair (2021)
5,22 April 2022,Y cómo es él? (2020)
6,22 April 2022,Hit the Road (2021)
7,29 April 2022,Hatching (2022)
8,29 April 2022,Memory (2022)
9,29 April 2022,Firebird (2021)
10,29 April 2022,Vortex (2021)
11,29 April 2022,Fortress: Sniper's Eye (2022)
12,29 April 2022,Corrective Measures (2022)
13,06 May 2022,Doctor Strange in the Multiverse of Madness (2022)
14,06 May 2022,Happening (2021)
15,06 May 2022,The Twin (2022)
16,06 May 2022,Summer of '85: Mackey Returns (2022)
17,06 May 2022,Around the World in 80 Days (2021)
18,06 May 2022,The Ravine (2021)
19,12 May 2022,The Sadness (2021)
20,13 May 2022,Firestarter (2022)
21,13 May 2022,The Innocents (2021)
22,13 May 2022,Family Camp (2022)
23,13 May 2022,The Last Victim (2021)
24,17 May 2022,Vendetta (2022)
25,20 May 2022,Downton Abbey: A New Era (2022)
26,20 May 2022,Men (2022)
27,20 May 2022,Good Mourning (2022)
28,26 May 2022,Look at Me: XXXTentacion (2022)
29,27 May 2022,Top Gun: Maverick (2022)
30,27 May 2022,The Bob's Burgers Movie (2022)
31,03 June 2022,Watcher (2022)
32,03 June 2022,Wolf Hound (2022)
33,09 June 2022,Terror on the Prairie (2022)
34,10 June 2022,Jurassic World Dominion (2022)
35,17 June 2022,Lightyear (2022)
36,17 June 2022,The Lost Girls (2022)
37,17 June 2022,Brian and Charles (2022)
38,24 June 2022,Marcel the Shell with Shoes On (2021)
39,24 June 2022,Elvis (2022)
40,24 June 2022,The Black Phone (2021)
41,01 July 2022,Minions: The Rise of Gru (2022)
42,08 July 2022,Thor: Love and Thunder (2022)
43,15 July 2022,Where the Crawdads Sing (2022)
44,15 July 2022,Paws of Fury: The Legend of Hank (2022)
45,15 July 2022,The Wrong Place (2022)
46,15 July 2022,Mrs Harris Goes to Paris (2022)
47,22 July 2022,Nope (2022)
48,29 July 2022,Bullet Train (2022)
49,29 July 2022,DC League of Super-Pets (2022)
50,29 July 2022,Vengeance (2022)
51,03 August 2022,Guns 3: Alias Billy the Kid (2022)
52,05 August 2022,Bodies Bodies Bodies (2022)
53,05 August 2022,Secret Headquarters (2022)
54,05 August 2022,Resurrection (2022)
55,19 August 2022,Beast (2022)
56,26 August 2022,Samaritan (2022)
57,02 September 2022,Honk for Jesus. Save Your Soul. (2022)
58,07 September 2022,After Ever Happy (2022)
59,09 September 2022,Salem's Lot (2022)
60,09 September 2022,Dark Harvest (2022)
61,16 September 2022,The Woman King (2022)
62,16 September 2022,"Are You There God? It's Me, Margaret (2022)"
63,23 September 2022,Don't Worry Darling (2022)
64,23 September 2022,Puss in Boots: The Last Wish (2022)
65,30 September 2022,BROS (2022)
66,07 October 2022,Spider-Man: Across the Spider-Verse - Part One (2022)
67,07 October 2022,Till (2022)
68,14 October 2022,Halloween Ends (2022)
69,21 October 2022,Black Adam (2022)
70,21 October 2022,Ticket to Paradise (2022)
71,28 October 2022,The Devil's Light (2022)
72,02 November 2022,The Monkey King: The Legend Begins (2022)
73,04 November 2022,Untitled David O. Russell (2022)
74,04 November 2022,Eye See You (2002)
75,11 November 2022,Black Panther: Wakanda Forever (2022)
76,11 November 2022,Spellbound (2022)
77,18 November 2022,Thirteen Lives (2022)
78,18 November 2022,"Lyle, Lyle, Crocodile (2022)"
79,18 November 2022,She Said (2022)
80,23 November 2022,The Fabelmans (2022)
81,23 November 2022,Creed III (2022)
82,23 November 2022,Strange World (2022)
83,15 December 2022,Bitch Ass (2022)
84,16 December 2022,Avatar 2 (2022)
85,16 December 2022,Shazam! Fury of the Gods (2022)
86,21 December 2022,Untitled Illumination Entertainment Super Mario Project (2022)
87,25 December 2022,A Man Called Otto (2022)
88,06 January 2023,Babylon (2022)
89,13 January 2023,Kraven the Hunter (2023)
90,27 January 2023,Harold and the Purple Crayon (2023)
91,03 February 2023,Knock at the Cabin (2023)
92,17 February 2023,The Marvels (2023)
93,03 March 2023,Dungeons & Dragons (2023)
94,10 March 2023,Haunted Mansion (2023)
95,17 March 2023,Aquaman and the Lost Kingdom (2023)
96,17 March 2023,Fast Charlie (2023)
97,24 March 2023,John Wick: Chapter 4 (2023)
98,31 March 2023,Scream 6 (2023)
99,14 April 2023,Renfield (2023)
